  What is your gender?  ,What type of institution did you attend prior to university  ,  What type of Institution are you currently enrolled in?  ,  What is your field of study?  ,Current University Admission Criteria ,What is the approximate cost of your semester fee? (An estimate is fine.) ,How much financial difficulty do you experience in paying your university fees?  ,Does your university offer financial aid or scholarships?  ,What is your CGPA,How would you rate the level of academic stress you experience in your university?  ,How would you rate your professors' support and approachability?  ,"How frequently do professors use technology (e.g., online resources, learning management systems, multimedia tools) in their teaching?  ",Have you had the opportunity to engage in interdisciplinary courses or projects at your university?  ,"How often do you participate in extracurricular activities (clubs, sports, student organizations, cultural events) at your university?  ",How satisfied are you with the career counseling services provided at your university?  ,"What are your post-graduation plans?
",How long does it typically take you to commute to university?  ,What are the challenges you face in your studies? (Check all that apply),Would you suggest the institution you are studying at to your sibling?,Column 20,Column 21,Column 22
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,Easy (Manage to pay without much difficulty),"Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,High stress,Supportive but not very approachable,Frequently (Most classes),"Yes, occasionally",Occasionally,Neutral,Seeking employment,60– 90 minutes,Academic workload,"Yes, definitely",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA)",Below 50k,Very easy (I do not face any financial difficulty in paying my fees),Not sure,3.1 - 3.5,High stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"Yes, occasionally",Never,Neutral,"Nothing,just wanted to ruin my life.so i enrolled here",More than 90 minutes,Academic workload,"No, I wouldn't suggest it",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.6 - 4.0,Moderate stress,Very supportive and approachable,Frequently (Most classes),"No, but I would like to",Occasionally,Neutral,Seeking employment,15–30 minutes,Academic workload,"No, I wouldn't suggest it",,,
Male,Private School,Public (Government-funded),"Sciences (e.g., Physics, Chemistry, Biology)","Academic performance (e.g., high school grades, CGPA)",50k - 100k,Easy (Manage to pay without much difficulty),"No, my university does not offer financial aid or scholarships.",3.6 - 4.0,Moderate stress,"Neutral (Supportive at times, less approachable)",Frequently (Most classes),"Yes, occasionally",Very frequently,Very dissatisfied,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,"Financial constraints, Support from peers and faculty, Availability of resources (e.g., library, online materials)","No, I wouldn't suggest it",,,
Female,Public School (Government-funded),Public (Government-funded),Bs Artificial intelligence ,University's entry test,50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,High stress,Supportive but not very approachable,Frequently (Most classes),"No, I have not had the opportunity",Occasionally,Satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,"Academic workload, Family responsibilities","Yes, with some reservations",,,
Male,Public School (Government-funded),Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,"Difficult (Often face financial stress, but manage with some support)","Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,No stress at all,Supportive but not very approachable,Frequently (Most classes),"No, but I would like to",Occasionally,Neutral,Seeking employment,15–30 minutes,Family responsibilities,"Yes, with some reservations",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,Easy (Manage to pay without much difficulty),"Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,High stress,Not very supportive or approachable,Rarely (Seldom used),"No, but I would like to",Occasionally,Very dissatisfied,Already running an agency: motioncutproductions.com,31–60 minutes,"Academic workload, Support from peers and faculty, Availability of resources (e.g., library, online materials)",I'm unsure/Not sure yet,,,
Male,Private School,Public (Government-funded),"Sciences (e.g., Physics, Chemistry, Biology)","Academic performance (e.g., high school grades, CGPA)",Below 50k,"Moderate (Occasionally experience financial strain, but manageable)","No, my university does not offer financial aid or scholarships.",3.1 - 3.5,High stress,Very supportive and approachable,Frequently (Most classes),"Yes, occasionally",Very frequently,Very satisfied,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,"Academic workload, Family responsibilities","Yes, definitely",,,
Female,Private School,Public (Government-funded),"Engineering and Technology (e.g., Electrical, Mechanical, Computer Science)","Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",50k - 100k,Easy (Manage to pay without much difficulty),"Yes, but I do not qualify for financial aid or a scholarship.",3.1 - 3.5,Moderate stress,"Neutral (Supportive at times, less approachable)",Occasionally (Some classes),"Yes, occasionally",Rarely,Dissatisfied,"Planning to pursue further education (e.g., graduate or professional studies)",31–60 minutes,Academic workload,"Yes, definitely",,,
Female,Public School (Government-funded),Public (Government-funded),Data science,"Academic performance (e.g., high school grades, CGPA), Admission test scores (e.g., NAT, ECAT, university-specific exams)",Below 50k,"Moderate (Occasionally experience financial strain, but manageable)","Yes, I am currently receiving financial aid or a scholarship.",3.1 - 3.5,Very high stress,Very supportive and approachable,Occasionally (Some classes),"No, but I would like to",Rarely,Neutral,"Planning to pursue further education (e.g., graduate or professional studies)",15–30 minutes,Academic workload,I'm unsure/Not sure yet,,,
